employee_name,age,sex,income,birthday
Kathy,27,1,8000,20/8/2016
Mac,20,0,8000,1/2/1999
Bob,33,0,13000,1/8/1974
Bill,30,0,8000,1/8/1975
Vanessa,30,1,8500,1/8/1976
Reagan,34,0,9500,1/8/1977
Rebecca,27,1,8700,1/8/1978
Reeves,37,0,10700,1/8/1979
Molly,31,1,11700,1/8/1980
Monroe,35,0,13700,1/8/1981
Hoffman,34,0,14700,1/8/1982
Daryl,24,1,7700,1/8/1983
Abbas,26,0,7600,1/8/2031
Aberdeen,28,0,10600,1/9/2001
Abigail,29,1,9600,1/9/2002
Adam,30,0,13500,1/9/2003
Adler,34,0,14500,1/9/2004
Thomas,41,0,18500,1/9/2005
James,37,0,11500,1/9/2006
Alice,26,1,5600,1/9/2007
Wain,45,0,15200,1/9/2008
Waldo,46,0,12300,1/9/2009
Swagger,30,0,14100,1/9/2010
Pamela,26,1,12300,1/9/2011
